"STATION","NAME","DATE","DAPR","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-11-07",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-11-08",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-11-09",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-11-10",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-11-11",,,,"0.12","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-11-12",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-11-13",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-11-14",,,,"0.02","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-11-15",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-11-16",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-11-17",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-11-18",,,,"0.01","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-11-19",,,,"0.01","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-11-20",,,,"0.00","0.0",,,,
