STATION,NAME,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/20/1948,,,,,0,0,0,,83,44,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/21/1948,,,,,0,0,0,,72,49,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/22/1948,,,,,0,0,0,,79,42,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/23/1948,,,,,0,0,0,,65,46,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/24/1948,,,,,0,0,0,,60,42,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/25/1948,,,,,0,0,0,,69,43,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/26/1948,,,,,0,0,0,,72,44,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/27/1948,,,,,0,0,0,,81,47,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/28/1948,,,,,0,0,0,,79,49,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/29/1948,,,,,0,0,0,,62,46,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/30/1948,,,,,0,0,0,,69,48,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",5/31/1948,,,,,0,0,0,,80,51,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/1/1948,,,,,0,0,0,,81,54,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/2/1948,,,,,0,0,0,,85,55,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/3/1948,,,,,0,0,0,,90,61,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/4/1948,,,,,0,0,0,,91,64,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/5/1948,,,,,0.13,0,0,,67,53,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/6/1948,,,,,0.37,0,0,,62,50,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/7/1948,,,,,0,0,0,,78,55,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/8/1948,,,,,0.02,0,0,,66,55,
